2025-04-15 03:08:56,Ô tô,1,frames/frame_2025-04-15 03-08-56.jpg
2025-04-15 03:08:56,Ô tô,1,frames/frame_2025-04-15 03-08-56.jpg
2025-04-16 18:18:39,Xe tải,1,frames/frame_2025-04-16 18-18-39.jpg,Unknown
2025-04-16 18:18:39,Xe tải,1,frames/frame_2025-04-16 18-18-39.jpg,Unknown
2025-04-16 18:18:40,Xe tải,1,frames/frame_2025-04-16 18-18-40.jpg,Unknown
2025-04-16 18:18:40,Xe tải,1,frames/frame_2025-04-16 18-18-40.jpg,Unknown
2025-04-16 18:18:40,Xe tải,1,frames/frame_2025-04-16 18-18-40.jpg,Unknown
2025-04-16 18:18:41,Xe tải,1,frames/frame_2025-04-16 18-18-41.jpg,Unknown
2025-04-16 18:18:41,Xe tải,1,frames/frame_2025-04-16 18-18-41.jpg,Unknown
2025-04-16 18:18:41,Xe tải,1,frames/frame_2025-04-16 18-18-41.jpg,Unknown
2025-04-16 18:18:42,Xe tải,1,frames/frame_2025-04-16 18-18-42.jpg,Unknown
2025-04-16 18:18:42,Xe tải,1,frames/frame_2025-04-16 18-18-42.jpg,Unknown
2025-04-16 18:18:42,Xe tải,1,frames/frame_2025-04-16 18-18-42.jpg,Unknown
2025-04-16 18:18:42,Xe máy,2,frames/frame_2025-04-16 18-18-42.jpg,Unknown
2025-04-16 18:18:42,Xe máy,2,frames/frame_2025-04-16 18-18-42.jpg,Unknown
2025-04-16 18:18:43,Xe tải,1,frames/frame_2025-04-16 18-18-43.jpg,Unknown
2025-04-16 18:18:43,Xe tải,1,frames/frame_2025-04-16 18-18-43.jpg,Unknown
2025-04-16 18:18:43,Xe tải,1,frames/frame_2025-04-16 18-18-43.jpg,Unknown
2025-04-16 18:18:44,Xe tải,1,frames/frame_2025-04-16 18-18-44.jpg,Unknown
2025-04-16 18:18:44,Xe tải,1,frames/frame_2025-04-16 18-18-44.jpg,Unknown
2025-04-16 18:18:44,Xe tải,1,frames/frame_2025-04-16 18-18-44.jpg,Unknown
2025-04-16 18:18:45,Xe tải,1,frames/frame_2025-04-16 18-18-45.jpg,Unknown
2025-04-16 18:18:45,Xe tải,1,frames/frame_2025-04-16 18-18-45.jpg,Unknown
2025-04-16 18:18:45,Xe tải,1,frames/frame_2025-04-16 18-18-45.jpg,Unknown
2025-04-16 18:18:46,Xe tải,1,frames/frame_2025-04-16 18-18-46.jpg,Unknown
2025-04-16 18:18:46,Xe tải,1,frames/frame_2025-04-16 18-18-46.jpg,Unknown
2025-04-16 18:18:46,Xe tải,1,frames/frame_2025-04-16 18-18-46.jpg,Unknown
2025-04-16 18:18:47,Xe tải,1,frames/frame_2025-04-16 18-18-47.jpg,Unknown
2025-04-16 18:18:47,Xe tải,1,frames/frame_2025-04-16 18-18-47.jpg,Unknown
2025-04-16 18:18:47,Xe tải,1,frames/frame_2025-04-16 18-18-47.jpg,Unknown
2025-04-16 18:18:48,Xe tải,1,frames/frame_2025-04-16 18-18-48.jpg,Unknown
2025-04-16 18:18:48,Xe tải,1,frames/frame_2025-04-16 18-18-48.jpg,Unknown
2025-04-16 18:18:49,Xe tải,1,frames/frame_2025-04-16 18-18-49.jpg,Unknown
2025-04-16 18:18:49,Xe tải,1,frames/frame_2025-04-16 18-18-49.jpg,Unknown
2025-04-16 18:18:49,Xe tải,1,frames/frame_2025-04-16 18-18-49.jpg,Unknown
2025-04-16 18:18:50,Xe tải,1,frames/frame_2025-04-16 18-18-50.jpg,Unknown
2025-04-16 18:18:51,Xe tải,1,frames/frame_2025-04-16 18-18-51.jpg,Unknown
2025-04-16 18:18:51,Xe tải,1,frames/frame_2025-04-16 18-18-51.jpg,Unknown
2025-04-16 18:18:52,Xe tải,1,frames/frame_2025-04-16 18-18-52.jpg,Unknown
2025-04-16 18:19:03,Ô tô,1,frames/frame_2025-04-16 18-19-03.jpg,Unknown
2025-04-16 18:19:04,Ô tô,1,frames/frame_2025-04-16 18-19-04.jpg,Unknown
2025-04-16 18:19:04,Xe buýt,1,frames/frame_2025-04-16 18-19-04.jpg,Unknown
2025-04-16 18:19:05,Xe buýt,1,frames/frame_2025-04-16 18-19-05.jpg,Unknown
2025-04-16 18:19:05,Xe buýt,1,frames/frame_2025-04-16 18-19-05.jpg,Unknown
2025-04-16 18:19:05,Xe buýt,1,frames/frame_2025-04-16 18-19-05.jpg,Unknown
2025-04-16 18:19:06,Xe buýt,1,frames/frame_2025-04-16 18-19-06.jpg,Unknown
2025-04-16 18:19:06,Xe buýt,1,frames/frame_2025-04-16 18-19-06.jpg,Unknown
2025-04-16 18:19:06,Xe buýt,1,frames/frame_2025-04-16 18-19-06.jpg,Unknown
2025-04-16 18:19:07,Xe buýt,1,frames/frame_2025-04-16 18-19-07.jpg,Unknown
2025-04-16 18:19:07,Xe buýt,1,frames/frame_2025-04-16 18-19-07.jpg,Unknown
2025-04-16 18:19:07,Xe buýt,1,frames/frame_2025-04-16 18-19-07.jpg,Unknown
2025-04-16 18:19:07,Ô tô,1,frames/frame_2025-04-16 18-19-07.jpg,Unknown
2025-04-16 18:19:08,Xe buýt,1,frames/frame_2025-04-16 18-19-08.jpg,Unknown
2025-04-16 18:19:08,Ô tô,1,frames/frame_2025-04-16 18-19-08.jpg,Unknown
